"session_id` varchar(255) NOT NULL","federation_node_id` bigint NOT NULL DEFAULT 1","actor_id` bigint NOT NULL DEFAULT 0","channel_id` bigint NOT NULL DEFAULT 1","ip_address` varchar(45) NOT NULL DEFAULT ''","user_agent` varchar(255) NOT NULL DEFAULT ''","device_id` varchar(100)","device_type` varchar(64)","auth_method` varchar(30)","auth_provider` varchar(50)","security_level` varchar(64) NOT NULL DEFAULT 'medium'","name_key` varchar(100)","is_named` tinyint NOT NULL DEFAULT 0","is_authenticated` tinyint NOT NULL DEFAULT 0","is_active` tinyint NOT NULL DEFAULT 1","is_expired` tinyint NOT NULL DEFAULT 0","is_revoked` tinyint NOT NULL DEFAULT 0","session_data` text","system_context` varchar(50)","metadata` json","login_ymdhis` bigint","last_seen_ymdhis` bigint NOT NULL","expires_ymdhis` bigint","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"session_id` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","federation_node_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","actor_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","channel_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","ip_address` varchar(45) NOT NULL DEFAULT '':VARCHAR(45)|NOT_NULL|DEFAULT:''","user_agent` varchar(255) NOT NULL DEFAULT '':VARCHAR(255)|NOT_NULL|DEFAULT:''","device_id` varchar(100):VARCHAR(100)|NULL","device_type` varchar(64):VARCHAR(64)|NULL","auth_method` varchar(30):VARCHAR(30)|NULL","auth_provider` varchar(50):VARCHAR(50)|NULL","security_level` varchar(64) NOT NULL DEFAULT 'medium':VARCHAR(64)|NOT_NULL|DEFAULT:'medium'","name_key` varchar(100):VARCHAR(100)|NULL","is_named` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","is_authenticated` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","is_expired` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","is_revoked` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","session_data` text:TEXT|NULL","system_context` varchar(50):VARCHAR(50)|NULL","metadata` json:JSON|NULL","login_ymdhis` bigint:BIGINT|NULL","last_seen_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","expires_ymdhis` bigint:BIGINT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
191u9reudne9j130p95rehkivm,1,10000,1,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,desktop,password,local,high,,0,0,1,0,0,,,,20260221130500,20260221130650,20260222130500,20260220134033,20260221130650,0,
h92kjgggec1h7cfo13g7jp4m1p,1,2,1,::1,"Lupopedia Seed Session",,desktop,password,local,high,,0,0,0,0,1,,,,20260113023320,20260113023414,20260114023320,20260113023320,20260113023414,0,
k2ga5ibfjhr5a4801g12gcstk9,1,10000,1,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",,desktop,password,local,high,,0,0,1,0,0,,,,20260221130921,20260221130923,20260222130921,20260221002553,20260221130923,0,
