"analytics_visits_monthly_id` bigint NOT NULL","content_id` bigint NOT NULL DEFAULT 0","url_path` varchar(500) NOT NULL DEFAULT ''","department_id` bigint NOT NULL DEFAULT 1","date_ym` bigint NOT NULL","visits` int NOT NULL DEFAULT 0","unique_sessions` int NOT NULL DEFAULT 0","unique_actors` int NOT NULL DEFAULT 0","direct_visits` int NOT NULL DEFAULT 0","internal_visits` int NOT NULL DEFAULT 0","entry_count` int NOT NULL DEFAULT 0","exit_count` int NOT NULL DEFAULT 0","total_seconds` int NOT NULL DEFAULT 0","avg_seconds` int NOT NULL DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL"
"analytics_visits_monthly_id` bigint NOT NULL:BIGINT|NOT_NULL","content_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","url_path` varchar(500) NOT NULL DEFAULT '':VARCHAR(500)|NOT_NULL|DEFAULT:''","department_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","date_ym` bigint NOT NULL:BIGINT|NOT_NULL","visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","unique_sessions` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","unique_actors` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","direct_visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","internal_visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","entry_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","exit_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","total_seconds` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","avg_seconds` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL"
1,0,http://wisdomoflovingfaith.com/index.php,1,202511,3735,0,0,1291,0,0,0,0,0,20260220133938,20260220133938
2,0,http://wisdomoflovingfaith.com/agent_profile.php,1,202512,4924,0,0,1655,0,0,0,0,0,20260220133938,20260220133938
3,0,http://mail.lupopedia.com,1,202601,1242,0,0,465,0,0,0,0,0,20260220133938,20260220133938
4,0,http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQKNjYyODU2ODM3OQABHrrjWiqkfZhk8neZUtJr9_4sPheyi-ntEKJZm3CAYn_yTEelGJ2gdXDIZmkN_aem_lPffrVtDcK4crkD08FHS6g,1,202602,449,0,0,155,0,0,0,0,0,20260220133938,20260220133938
