"actor_property_id` bigint NOT NULL","actor_type` varchar(32) NOT NULL","actor_id` bigint NOT NULL","property_key` varchar(64) NOT NULL","property_value` text","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"actor_property_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_type` varchar(32) NOT NULL:VARCHAR(32)|NOT_NULL","actor_id` bigint NOT NULL:BIGINT|NOT_NULL","property_key` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","property_value` text:TEXT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
1,user,10000,timezone,-6.00,20260220134555,20260220134555,0,
2,user,10000,bio,,20260220134555,20260220134555,0,
