"crafty_syntax_layer_invite_id` bigint NOT NULL auto_increment","layer_name` varchar(100) NOT NULL DEFAULT ''","image_name` varchar(255) NOT NULL DEFAULT ''","image_map` text","department_name` varchar(100) NOT NULL DEFAULT ''","user_id` bigint NOT NULL DEFAULT 0","is_active` tinyint NOT NULL DEFAULT 1","display_count` int NOT NULL DEFAULT 0","click_count` int NOT NULL DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"crafty_syntax_layer_invite_id` bigint NOT NULL auto_increment:BIGINT|NOT_NULL","layer_name` varchar(100) NOT NULL DEFAULT '':VARCHAR(100)|NOT_NULL|DEFAULT:''","image_name` varchar(255) NOT NULL DEFAULT '':VARCHAR(255)|NOT_NULL|DEFAULT:''","image_map` text:TEXT|NULL","department_name` varchar(100) NOT NULL DEFAULT '':VARCHAR(100)|NOT_NULL|DEFAULT:''","user_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","display_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","click_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
1,,layer-Man_invite.gif,"<MAP NAME=myimagemap><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,0,400,197><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,157,213,257><AREA HREF=javascript:closeDHTML() SHAPE=RECT COORDS=237,157,400,257></MAP>",,10000,1,0,0,20260220133936,20260220133936,0,
2,,layer-Phone.gif,"<MAP NAME=myimagemap><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,0,472,150><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=241,150,484,256><AREA HREF=javascript:closeDHTML() SHAPE=RECT COORDS=0,150,241,250></MAP>",,10000,1,0,0,20260220133936,20260220133936,0,
3,,layer-Help_button.gif,"<MAP NAME=myimagemap><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,0,400,197><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,157,213,257><AREA HREF=javascript:closeDHTML() SHAPE=RECT COORDS=237,157,400,257></MAP>",,10000,1,0,0,20260220133936,20260220133936,0,
4,,layer-Woman_invite.png,"<MAP NAME=myimagemap><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=126,71,429,172><AREA HREF=javascript:closeDHTML() SHAPE=RECT COORDS=311,5,440,45></MAP>",,10000,1,0,0,20260220133936,20260220133936,0,
5,,layer-Subsilver.gif,"<MAP NAME=myimagemap><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,0,419,216><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,216,319,279><AREA HREF=javascript:closeDHTML() SHAPE=RECT COORDS=326,218,429,280></MAP>",,10000,1,0,0,20260220133936,20260220133936,0,
6,,layer-Help_buttonoffline.gif,"<MAP NAME=myimagemap><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,0,400,197><AREA HREF=javascript:openLiveHelp() SHAPE=RECT COORDS=0,157,213,257><AREA HREF=javascript:closeDHTML() SHAPE=RECT COORDS=237,157,400,257></MAP>",,10000,1,0,0,20260220133936,20260220133936,0,
