"auth_provider_id` bigint NOT NULL","provider_name` varchar(50) NOT NULL","client_id` varchar(255) NOT NULL","client_secret` text NOT NULL","scopes` text","authorization_endpoint` varchar(2000) NOT NULL","token_endpoint` varchar(2000) NOT NULL","userinfo_endpoint` varchar(2000)","jwks_uri` varchar(2000)","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_active` tinyint NOT NULL DEFAULT 1"
"auth_provider_id` bigint NOT NULL:BIGINT|NOT_NULL","provider_name` varchar(50) NOT NULL:VARCHAR(50)|NOT_NULL","client_id` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","client_secret` text NOT NULL:TEXT|NOT_NULL","scopes` text:TEXT|NULL","authorization_endpoint` varchar(2000) NOT NULL:INT|NOT_NULL","token_endpoint` varchar(2000) NOT NULL:INT|NOT_NULL","userinfo_endpoint` varchar(2000):INT|NULL","jwks_uri` varchar(2000):VARCHAR(2000)|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1"
1,local,,,,,,,,20260217230000,20260217230000,1
