"collection_id` bigint NOT NULL auto_increment","federations_node_id` bigint NOT NULL","actor_id` bigint","department_id` bigint","name` varchar(255) NOT NULL","slug` varchar(100) NOT NULL","color` char(6) DEFAULT '666666'","description` text","sort_order` int DEFAULT 0","properties` text","published_ymdhis` bigint","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","parent_id` bigint"
"collection_id` bigint NOT NULL auto_increment:BIGINT|NOT_NULL","federations_node_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_id` bigint:BIGINT|NULL","department_id` bigint:BIGINT|NULL","name` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","slug` varchar(100) NOT NULL:VARCHAR(100)|NOT_NULL","color` char(6) DEFAULT '666666':UNKNOWN|NULL|DEFAULT:'666666'","description` text:TEXT|NULL","sort_order` int DEFAULT 0:INT|NULL|DEFAULT:0","properties` text:TEXT|NULL","published_ymdhis` bigint:BIGINT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL","parent_id` bigint:BIGINT|NULL"
1,1,,,"Lupopedia System Collection",lupopedia-system,666666,,0,,,20260217230000,20260217230000,0,,
2,1,,,"Site Navigation",site-navigation,666666,"Auto-generated navigation collection from Crafty Syntax",0,,,20250101000000,20250101000000,0,,
